"ROI 1","ROI 2","ROI 3","ROI 4","ROI 5"
-0.00871198,-0.0114031,-0.00197916,-0.00642293,-0.0160804
-0.00871198,-0.0114031,-0.00197916,-0.00642293,-0.0160804
-0.0113269,-0.0125052,-0.00375701,-0.00749357,-0.0174486
-0.0119832,-0.0124489,0.00104195,-0.00645749,-0.0145928
-0.00950831,-0.0132214,-0.00169782,-0.0069719,-0.014617
-0.00562256,-0.0135464,-0.00200941,-0.00505784,-0.0148621
-0.0104621,-0.0143309,0.00105821,-0.00637673,-0.013708
-0.0073232,-0.0155986,-8.00486e-05,-0.00459608,-0.0164816
-0.00617124,-0.0143812,0.00159915,-0.0041295,-0.0167335
-0.00884403,-0.0149264,0.00351583,-0.00367585,-0.0161313
-0.00607341,-0.0145348,0.000214221,-0.00389712,-0.0149076
-0.00830126,-0.0136001,0.00100316,-0.00408676,-0.0159021
-0.00700882,-0.0143649,0.00264644,-0.0037974,-0.0164606
-0.00700882,-0.0143649,0.00264644,-0.0037974,-0.0164606
-0.00620835,-0.0143907,0.00302364,-0.00326447,-0.0167592
-0.00450417,-0.0142227,0.00282894,-0.0027623,-0.016765
-0.00599052,-0.0137065,0.00401866,-0.00308404,-0.0167282
-0.00494033,-0.011764,-0.00114728,-0.00175153,-0.0144835
-0.00507473,-0.0134576,0.00117995,-0.00159747,-0.0127067
-0.00314261,-0.0121002,0.00157494,-0.00210991,-0.0140535
-0.00200201,-0.0119423,0.00291701,-0.000803095,-0.0119614
-0.00200201,-0.0119423,0.00291701,-0.000803095,-0.0119614
0.000747435,-0.0110461,0.00341719,0.00137386,-0.00758753
0.000554124,-0.0109483,0.00440119,-0.000793815,-0.00451388
0.00105978,-0.0109591,0.00159953,0.000732001,-0.000453999
0.0025858,-0.0109873,0.00469623,-0.000701736,0.0132951
0.000380677,-0.00935973,0.00249748,0.000710319,0.014455
-0.000403759,-0.0074939,0.00423648,0.00123761,0.018701
0.003587,0.00395153,0.00586798,0.00179288,0.015173
0.00218607,0.0057721,0.00678908,0.00184978,0.0129137
0.00682249,0.0100101,0.00404211,0.00173212,0.00850488
0.00807319,0.011547,0.00506701,0.00245804,0.00478749
0.00734388,0.015484,0.00639184,0.00167788,0.00014584
0.00865033,0.0164961,0.00739423,0.00105732,0.000767859
0.00916152,0.0167085,0.00533528,0.00156671,-0.00139876
0.00746195,0.0171302,0.00428155,0.00139493,-0.00109719
0.00746195,0.0171302,0.00428155,0.00139493,-0.00109719
0.0073826,0.0179396,0.0042897,0.00117375,0.00184864
0.00825306,0.0178653,0.00571051,0.00170775,0.00173872
0.00797034,0.018249,0.00389745,0.000983038,0.00321756
0.00990452,0.0188791,0.00507208,0.002159,0.00603277
0.0104297,0.0214266,0.00400578,0.00367074,0.00843701
0.0108415,0.0234576,0.00748458,0.00463194,0.0174229
0.0110641,0.0228726,0.00479691,0.00538484,0.0193966
